company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
A LA MAISON,"Oat Milk Bar Soap, 8.8 oz",5.29,4.19,3.77,body_care,0.208,0.287,0.079,20% to 30%,Soap
A LA MAISON,"Sea Salt Soap Bar, 8.8 oz",5.29,4.19,3.77,body_care,0.208,0.287,0.079,20% to 30%,Soap
Pacha Soap Co.,"Variety Pack Bar Soap Pacha Peaces, 7 oz",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,Soap
Pacha Soap Co.,"CBD Bar Soap, 4 oz",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,Soap
A LA MAISON,"Lavender Flowers Bar Soap, 14 oz",8.69,6.99,6.29,body_care,0.196,0.276,0.08,20% to 30%,Soap
A LA MAISON,"Unscented Bar Soap, 14 oz",8.69,6.99,6.29,body_care,0.196,0.276,0.08,20% to 30%,Soap
Valid 2/2 - 3/1,PACHA SOAP,25.99,20.99,18.89,body_care,0.192,0.273,0.081,20% to 30%,Soap
A LA MAISON,"Sea Salt Liquid Hand Soap, 16.9 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Soap
A LA MAISON,"Lavender Aloe Liquid Soap, 16.9 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Soap
A LA MAISON,"Rosemary Mint Liquid Soap, 16.9 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Soap
A LA MAISON,"Honeysuckle Liquid Soap, 16.9 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Soap
ALAFFIA,"Authentic African Black Soap All-in-One Wild Lavender, 32 fl oz",15.99,13.49,12.14,body_care,0.156,0.241,0.085,20% to 30%,Soap
Tom's of Maine,"Lavender Tea Tree Bar Soap, 5 oz",5.29,4.49,4.04,body_care,0.151,0.236,0.085,20% to 30%,Soap
ALAFFIA,"Authentic African Black Soap Charcoal Reishi, 5 oz",5.49,4.69,4.22,body_care,0.146,0.231,0.085,20% to 30%,Soap
Hand In Hand Soap,"Sea Salt Bar Soap, 5 oz",5.79,4.99,4.49,body_care,0.138,0.225,0.087,20% to 30%,Soap
ALAFFIA,"Eucalypt Tea Tree Black Soap, 32 fl oz",16.99,14.49,13.04,body_care,0.147,0.232,0.085,20% to 30%,Soap
NUBIAN HERITAGE,"Indian Hemp Vetiver Soap Bar, 5 oz",4.49,3.39,3.05,body_care,0.245,0.321,0.076,30% to 40%,Soap
NUBIAN HERITAGE,"Coconut And Papaya Soap Bar, 5 oz",4.49,3.39,3.05,body_care,0.245,0.321,0.076,30% to 40%,Soap
Dr. Bronner's,"Fairtrade Organic Rose M/w Oils Liquid Soap, 32 fl oz",16.99,13.59,12.23,body_care,0.2,0.28,0.08,20% to 30%,Soap
A LA MAISON,"Rosemary Mint Bar Soap, 4 bars",7.49,5.99,5.39,body_care,0.2,0.28,0.08,20% to 30%,Soap
A LA MAISON,"Unscented Olive Oil Soaps, 14.1 oz",7.99,6.39,5.75,body_care,0.2,0.28,0.08,20% to 30%,Soap
Dr. Bronner's,"Organic Castile Almond Liquid Soap, 32 fl oz",16.99,13.59,12.23,body_care,0.2,0.28,0.08,20% to 30%,Soap
A LA MAISON,"Coconut Liquid Hand Soap, 16.9 fl oz",8.29,6.69,6.02,body_care,0.193,0.274,0.081,20% to 30%,Soap
A LA MAISON,"Sweet Almond Bar Soap, 8.8 oz",4.69,3.79,3.41,body_care,0.192,0.273,0.081,20% to 30%,Soap
A LA MAISON,"Lavender Flower Bar Soap, 8.8 oz",4.69,3.79,3.41,body_care,0.192,0.273,0.081,20% to 30%,Soap
A LA MAISON,Oat Milk 4 Pack Soap,6.99,5.69,5.12,body_care,0.186,0.268,0.082,20% to 30%,Soap
A LA MAISON,"Unscented Olive Oil Soap, 7 oz",4.49,3.69,3.32,body_care,0.178,0.261,0.083,20% to 30%,Soap
Hand In Hand Soap,Fragrance Free Bar Soap,5.99,4.99,4.49,body_care,0.167,0.25,0.083,20% to 30%,Soap
ALAFFIA,"Unscented African Black Soap, 32 fl oz",15.79,13.49,12.14,body_care,0.146,0.231,0.085,20% to 30%,Soap
AURA CACIA,"Clary Sage Essential Oil, 0.5 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,Essential Oil
AURA CACIA,"Jojoba Skin Care Oil, 4 fl oz",14.79,11.79,10.61,body_care,0.203,0.283,0.08,20% to 30%,Essential Oil
AURA CACIA,"Ylang Ylang Essential Oil, 0.5 fl oz",16.29,12.99,11.69,body_care,0.203,0.282,0.079,20% to 30%,Essential Oil
AURA CACIA,"Organic Eucalyptus Essential Oil, 0.25 fl oz",10.99,8.79,7.91,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Rosemary Essential Oil, 0.5 fl oz",7.49,5.99,5.39,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Peppermint Essential Oil, 0.25 fl oz",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Blood Orange Essential Oil, 0.25 fl oz",7.99,6.39,5.75,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Lemongrass Essential Oil, 0.25 fl oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Neroli In Jojoba Oil, 0.5 fl oz",20.99,16.79,15.11,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Bergamot Essential Oil, 0.25 fl oz",12.79,10.29,9.26,body_care,0.195,0.276,0.081,20% to 30%,Essential Oil
AURA CACIA,"Lavender Essential Oil, 0.5 fl oz",12.79,10.29,9.26,body_care,0.195,0.276,0.081,20% to 30%,Essential Oil
AURA CACIA,"Frankincense In Jojoba Oil, 0.5 fl oz",14.29,11.49,10.34,body_care,0.196,0.276,0.08,20% to 30%,Essential Oil
AURA CACIA,"Juniper Berry Essential Oil, 0.5 fl oz",22.99,18.49,16.64,body_care,0.196,0.276,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Jojoba Skin Care Oil, 4 fl oz",17.99,14.49,13.04,body_care,0.195,0.275,0.08,20% to 30%,Essential Oil
AURA CACIA,"Sweet Almond Oil, 4 fl oz",6.69,5.39,4.85,body_care,0.194,0.275,0.081,20% to 30%,Essential Oil
AURA CACIA,"Blue Tansy Essential Oil in Jojoba Oil, 0.5 fl oz",16.49,13.29,11.96,body_care,0.194,0.275,0.081,20% to 30%,Essential Oil
AURA CACIA,"Organic Lavender Essential Oil, 0.25 fl oz",16.49,13.29,11.96,body_care,0.194,0.275,0.081,20% to 30%,Essential Oil
AURA CACIA,"Love Potion Essential Oil, 5 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Essential Oil
AURA CACIA,"Essential Oil Pillow Potion, 0.5 fl oz",12.99,10.49,9.44,body_care,0.192,0.273,0.081,20% to 30%,Essential Oil
AURA CACIA,"Mind Guide Essential Oil Blend, 0.5 fl oz",12.99,10.49,9.44,body_care,0.192,0.273,0.081,20% to 30%,Essential Oil
AURA CACIA,"Organic Hemp Seed Oil, 4 fl oz",9.49,7.69,6.92,body_care,0.19,0.271,0.081,20% to 30%,Essential Oil
AURA CACIA,"Eucalyptus Essential Oil, 0.5 fl oz",7.39,5.99,5.39,body_care,0.189,0.271,0.082,20% to 30%,Essential Oil
AURA CACIA,"Organic Clove Bud Essential Oil, 0.25 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Essential Oil
AURA CACIA,"Oregano Essential Oil, 0.5 fl oz",15.49,11.49,10.34,body_care,0.258,0.332,0.074,30% to 40%,Essential Oil
AURA CACIA,"Frankincense Essential Oil, 0.5 fl oz",31.99,24.99,22.49,body_care,0.219,0.297,0.078,20% to 30%,Essential Oil
AURA CACIA,"Grapeseed Skin Care Oil, 4 fl oz",5.49,4.39,3.95,body_care,0.2,0.281,0.081,20% to 30%,Essential Oil
AURA CACIA,"Lavender Harvest Massage Oil, 8 fl oz",14.99,11.99,10.79,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Rosehip Oil, 1 each",15.99,12.79,11.51,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Organic Patchouli Essential Oil, 0.25 fl oz",17.79,14.29,12.86,body_care,0.197,0.277,0.08,20% to 30%,Essential Oil
AURA CACIA,"Lavender Harvest Essential Oil, 0.5 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Essential Oil
AURA CACIA,"Pine Essential Oil, 0.5 fl oz",7.99,6.69,6.02,body_care,0.163,0.247,0.084,20% to 30%,Essential Oil
AURA CACIA,"Red Thyme Essential Oil, 0.5 fl oz",17.79,15.99,14.39,body_care,0.101,0.191,0.09,10% to 20%,Essential Oil
AURA CACIA,"Eucalyptus Essential Oil, 2 fl oz",19.49,15.49,13.94,body_care,0.205,0.285,0.08,20% to 30%,Essential Oil
AURA CACIA,"Sweet Orange Essential Oil, 2 fl oz",13.79,10.99,9.89,body_care,0.203,0.283,0.08,20% to 30%,Essential Oil
AURA CACIA,"Atlas Cedarwood Essential Oil, 0.5 fl oz",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Sweet Orange Certified Organic Essential Oil, 0.25 fl oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,Essential Oil
AURA CACIA,"Breezeway Essential Oil Blend, 0.5 fl oz",12.79,10.29,9.26,body_care,0.195,0.276,0.081,20% to 30%,Essential Oil
AURA CACIA,"Black Seed Skin Care Oil, 4 fl oz",18.99,15.29,13.76,body_care,0.195,0.275,0.08,20% to 30%,Essential Oil
AURA CACIA,"Grapeseed Skin Care Oil, 16 fl oz",12.99,10.49,9.44,body_care,0.192,0.273,0.081,20% to 30%,Essential Oil
AURA CACIA,"Peppermint Essential Oil, 0.5 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Essential Oil
AURA CACIA,"Tea Tree Essential Oil, 0.5 fl oz",8.29,7.29,6.56,body_care,0.121,0.209,0.088,20% to 30%,Essential Oil
NUBIAN HERITAGE,"Patchouli & Buriti Body Wash, 13 fl oz",13.99,10.49,9.44,body_care,0.25,0.325,0.075,30% to 40%,Wash
NUBIAN HERITAGE,"African Black Body Wash, 13 fl oz",13.99,10.49,9.44,body_care,0.25,0.325,0.075,30% to 40%,Wash
NUBIAN HERITAGE,"Goat Milk Butter Body Wash, 13 fl oz",13.99,10.49,9.44,body_care,0.25,0.325,0.075,30% to 40%,Wash
NUBIAN HERITAGE,"Raw Shea Butter Body Wash, 13 fl oz",13.99,10.49,9.44,body_care,0.25,0.325,0.075,30% to 40%,Wash
Tom's of Maine,"Cool Mountain Mint Mouthwash, 16 fl oz",5.79,4.49,4.04,body_care,0.225,0.302,0.077,30% to 40%,Wash
Tom's of Maine,"Mint Sea Salt Mouthwash, 16 fl oz",5.79,4.49,4.04,body_care,0.225,0.302,0.077,30% to 40%,Wash
ALBA BOTANICA,"Cannabis Sativa Seed Oil Hempquility Bath Soak & Body Wash, 32 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,Wash
Jason Natural Products,"Lavender Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Glycerin Rosewater Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Smoothing Coconut Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Citrus Satin Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Aloe Vera Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Tea Tree Body Wash, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,Wash
Jason Natural Products,"Kids Bubblegum Foaming Wash, 2 fl oz",14.49,12.39,11.15,body_care,0.145,0.231,0.086,20% to 30%,Wash
ALAFFIA,"Vanilla Moisturizing Body Wash, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Wash
ALAFFIA,"Unscented Moisturizing Body Wash, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Wash
ALAFFIA,"Coconut Body Wash, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Wash
ALAFFIA,"Lavender Moisturizing Body Wash, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Wash
ALAFFIA,"Coconut Body Wash Coconut Lime, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Wash
Tom's of Maine,"Fresh Mint Whole Care Mouthwash, 16 fl oz",5.99,4.49,4.04,body_care,0.25,0.326,0.076,30% to 40%,Wash
Jason Natural Products,"Body Wash Cannabis Sativa Seed Oil, 30 fl oz",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,Wash
ALAFFIA,"Shea Passionfruit Body Wash, 32 fl oz",10.99,9.39,8.45,body_care,0.146,0.231,0.085,20% to 30%,Wash
AURA CACIA,"Clearing Eucalyptus Aromatherapy Mist Clearing Eucalyptus, 4 fl oz",7.99,4.79,4.31,body_care,0.401,0.461,0.06,40% to 50%,body_care
Jason Natural Products,Moisturizing Vitamin E 25000iu Creme,12.49,7.99,7.19,body_care,0.36,0.424,0.064,40% to 50%,body_care
DIVACUP,Diva Cup Model 1,47.99,32.69,29.42,body_care,0.319,0.387,0.068,30% to 40%,body_care
DIVACUP,"Model 2 Menstrual Cup, 1 each",47.99,32.69,29.42,body_care,0.319,0.387,0.068,30% to 40%,body_care
SHIKAI,"Cbd+ Mentholated Cream With Menthol & Camphor, 3 oz",26.99,18.79,16.91,body_care,0.304,0.373,0.069,30% to 40%,body_care
SHIKAI,"Borage Therapy Unscentedhand Cream, 2.5 fl oz",8.99,6.29,5.66,body_care,0.3,0.37,0.07,30% to 40%,body_care
SHIKAI,"CBD Cooling Formula Cream with Menthol, 1 fl oz",10.49,7.49,6.74,body_care,0.286,0.357,0.071,30% to 40%,body_care
SHIKAI,"CBD+ Skin Cream with Borage Oil, 1 fl oz",10.49,7.49,6.74,body_care,0.286,0.357,0.071,30% to 40%,body_care
KISS MY FACE,"Fragrance Free Moisture Shave, 11 fl oz",7.99,5.99,5.39,body_care,0.25,0.325,0.075,30% to 40%,body_care
KISS MY FACE,"Cool Mint Moisture Shave, 11 fl oz",7.99,5.99,5.39,body_care,0.25,0.325,0.075,30% to 40%,body_care
NUBIAN HERITAGE,"Lavender & Wildflowers Hand Cream, 4 fl oz",6.99,5.29,4.76,body_care,0.243,0.319,0.076,30% to 40%,body_care
ALBA BOTANICA,"Honey Mango Bath Gel, 32 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,body_care
ALBA BOTANICA,"Midnight Tuberose Shower Gel, 32 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,body_care
ALBA BOTANICA,"French Lavender Shower Gel, 32 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,body_care
ALBA BOTANICA,"Coconut Rescue Bath & Shower Gel, 32 fl oz",14.49,11.49,10.34,body_care,0.207,0.286,0.079,20% to 30%,body_care
ALBA BOTANICA,"Facial Sheer Shield Sunscreen Spf 45, 2 oz",16.99,13.49,12.14,body_care,0.206,0.285,0.079,20% to 30%,body_care
EO,"Hand Sanitizer, 8 fl oz",9.79,7.79,7.01,body_care,0.204,0.284,0.08,20% to 30%,body_care
Jason Natural Products,"Cannabis Sativa Seed Oil Moisturizing Crème, 4 oz",9.79,7.79,7.01,body_care,0.204,0.284,0.08,20% to 30%,body_care
AURA CACIA,"Relaxing Lavender Mineral Bath, 2.5 oz",3.99,3.19,2.87,body_care,0.201,0.281,0.08,20% to 30%,body_care
EARTH THERAPEUTICS,"Blue Hydro Body Sponge, 1 each",4.99,3.99,3.59,body_care,0.2,0.281,0.081,20% to 30%,body_care
ALBA BOTANICA,"Very Emollient Dry Skin Formula, 32 oz",14.99,11.99,10.79,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,"Sweet Almond Honeycomb Froth Bomb, 5 oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,"Bath Salts Muscle Salt Block, 5 oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,Rosewater Froth Bomb 5oz,5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
AURA CACIA,"Lavender Body Mist, 4 fl oz",7.99,6.39,5.75,body_care,0.2,0.28,0.08,20% to 30%,body_care
ALBA BOTANICA,"Leave In Detangler, 3.5 oz",7.49,5.99,5.39,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,"French Lavender Round Froth Bomb, 5 oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
ALBA BOTANICA,"Kukui Nut Body Oil, 8.5 fl oz",10.99,8.79,7.91,body_care,0.2,0.28,0.08,20% to 30%,body_care
Burt's Bees,"Baby Dusting Powder, 7.5 oz",9.49,7.59,6.83,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,"Bath Salts Detox Salt Block, 5 oz",5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
AURA CACIA,"Neroli Hydrosol Mist, 3 fl oz",10.99,8.79,7.91,body_care,0.2,0.28,0.08,20% to 30%,body_care
AURA CACIA,"Rose Hydrosol Mist, 3 fl oz",10.99,8.79,7.91,body_care,0.2,0.28,0.08,20% to 30%,body_care
AURA CACIA,"Lavender Hydrosol Mist, 3 fl oz",10.99,8.79,7.91,body_care,0.2,0.28,0.08,20% to 30%,body_care
ALBA BOTANICA,"Baby Clear Mineral Sunscreen Spf 50, 3 oz",14.99,11.99,10.79,body_care,0.2,0.28,0.08,20% to 30%,body_care
Pacha Soap Co.,"Bath Crayons, Kids Warm 3 Pack, 2.25 oz",10.49,8.39,7.55,body_care,0.2,0.28,0.08,20% to 30%,body_care
Jason Natural Products,"Himalayan Pink Salt, 30 fl oz",11.99,9.69,8.72,body_care,0.192,0.273,0.081,20% to 30%,body_care
AURA CACIA,"Organic Ylang Ylang, 0.25 fl oz",12.99,10.49,9.44,body_care,0.192,0.273,0.081,20% to 30%,body_care
AURA CACIA,"Chill Pill Essential Solution, 0.5 fl oz",12.99,10.49,9.44,body_care,0.192,0.273,0.081,20% to 30%,body_care
EO,"Cleansing Lavender Hand Wipes, 10 ct",4.19,3.39,3.05,body_care,0.191,0.272,0.081,20% to 30%,body_care
Burt's Bees,Baby Bee Face And Hand Cloths,5.79,4.69,4.22,body_care,0.19,0.271,0.081,20% to 30%,body_care
EARTH THERAPEUTICS,"Exfoliating Hydro Towel, 1 each",5.79,4.69,4.22,body_care,0.19,0.271,0.081,20% to 30%,body_care
SEVENTH GENERATION,"Maxi Pads Overnight Withwings, 14 pads",6.99,5.69,5.12,body_care,0.186,0.268,0.082,20% to 30%,body_care
ALBA BOTANICA,"Mango Vanilla Cream Shave, 8 oz",6.99,5.69,5.12,body_care,0.186,0.268,0.082,20% to 30%,body_care
SEVENTH GENERATION,"Maxi Pads Regular, 24 pads",6.99,5.69,5.12,body_care,0.186,0.268,0.082,20% to 30%,body_care
SEVENTH GENERATION,Pantiliners,6.29,5.19,4.67,body_care,0.175,0.258,0.083,20% to 30%,body_care
Tom's of Maine,"Toothbrush Whole Care, 1 toothbrush",4.29,3.59,3.23,body_care,0.163,0.247,0.084,20% to 30%,body_care
Tom's of Maine,Anti Plaque Sprearmint Flat Floss 32yd,3.79,3.19,2.87,body_care,0.158,0.243,0.085,20% to 30%,body_care
Tom's of Maine,"Men Mountain Spring Deodorant Stick, 2.8 oz",6.99,5.89,5.3,body_care,0.157,0.242,0.085,20% to 30%,body_care
ALAFFIA,"Bubble Bath Coconut Chamomile, 32 fl oz",15.99,13.49,12.14,body_care,0.156,0.241,0.085,20% to 30%,body_care
Jason Natural Products,"Aloe Vera Gel Tube, 4 oz",5.29,4.49,4.04,body_care,0.151,0.236,0.085,20% to 30%,body_care
Tom's of Maine,"Medium Adult Toothbrush, 1 each",3.99,3.39,3.05,body_care,0.15,0.236,0.086,20% to 30%,body_care
Jason Natural Products,"Vitamin E Oil 5000 Iu, 4 fl oz",9.39,7.99,7.19,body_care,0.149,0.234,0.085,20% to 30%,body_care
ALAFFIA,"Lavender Shea Bubble Bath, 32 fl oz",11.49,9.79,8.81,body_care,0.148,0.233,0.085,20% to 30%,body_care
ALAFFIA,"Unscented Whipped Shea Butter and Coconut Oil, 4 oz",13.79,11.79,10.61,body_care,0.145,0.231,0.086,20% to 30%,body_care
ALAFFIA,"Unscented Shave Cream, 8 fl oz",8.99,7.69,6.92,body_care,0.145,0.23,0.085,20% to 30%,body_care
ALAFFIA,"Unrefined Neem Oil, 0.8 fl oz",8.99,7.69,6.92,body_care,0.145,0.23,0.085,20% to 30%,body_care
ALAFFIA,"Unscented Shea Butter, 11 oz",13.99,11.99,10.79,body_care,0.143,0.229,0.086,20% to 30%,body_care
Jason Natural Products,"Vitamin E Oil 32,000 Iu, 1 each",9.99,8.49,7.64,body_care,0.15,0.235,0.085,20% to 30%,body_care
ALAFFIA,"Wild Lavender Whipped Shea Butter & Coconut Oil, 4 oz",13.79,11.79,10.61,body_care,0.145,0.231,0.086,20% to 30%,body_care
Forces Of Nature,"Organic Rollerball Scar Control Medicine, 0.14 fl oz",13.99,11.99,10.79,body_care,0.143,0.229,0.086,20% to 30%,body_care
SHIKAI,"CBD+ Cream, 2 fl oz",31.49,22.49,20.24,body_care,0.286,0.357,0.071,30% to 40%,body_care
EARTH THERAPEUTICS,"White Hydro Body Sponge, 1 each",3.19,2.49,2.24,body_care,0.219,0.298,0.079,20% to 30%,body_care
EARTH THERAPEUTICS,"Pink Hydro Body Sponge, 1 each",3.19,2.49,2.24,body_care,0.219,0.298,0.079,20% to 30%,body_care
EARTH THERAPEUTICS,"Peach Hydro Body Sponge, 1 each",3.19,2.49,2.24,body_care,0.219,0.298,0.079,20% to 30%,body_care
A LA MAISON,"Honeysuckle Hand Cream, 1.7 fl oz",6.39,4.99,4.49,body_care,0.219,0.297,0.078,20% to 30%,body_care
AURA CACIA,"Organic Opening Heart Roll On, 0.31 fl oz",13.29,10.49,9.44,body_care,0.211,0.29,0.079,20% to 30%,body_care
AURA CACIA,"Organic Empowering Solar Plexus Roll On, 0.31 fl oz",13.29,10.49,9.44,body_care,0.211,0.29,0.079,20% to 30%,body_care
AURA CACIA,"Organic Insightful Third Eye Roll On, 0.31 fl oz",13.29,10.49,9.44,body_care,0.211,0.29,0.079,20% to 30%,body_care
EARTH THERAPEUTICS,"Loofah Sisal Bath Mitt, 1 each",6.79,5.39,4.85,body_care,0.206,0.286,0.08,20% to 30%,body_care
EARTH THERAPEUTICS,"Loofah Blown Up, 1 each",3.39,2.69,2.42,body_care,0.206,0.286,0.08,20% to 30%,body_care
ALBA BOTANICA,"Island Citrus Bath Gel, 32 fl oz",14.79,11.79,10.61,body_care,0.203,0.283,0.08,20% to 30%,body_care
AURA CACIA,"Lavender Foaming Bath, 2.5 oz",3.49,2.79,2.51,body_care,0.201,0.281,0.08,20% to 30%,body_care
Pacha Soap Co.,Sleep Salt Block 5oz,5.99,4.79,4.31,body_care,0.2,0.28,0.08,20% to 30%,body_care
EO,"Lavender Sanitizing Wipes Tub, 210 towelettes",29.99,23.99,21.59,body_care,0.2,0.28,0.08,20% to 30%,body_care
EARTH THERAPEUTICS,"Gray Aloe Infused Socks, 1 each",9.99,7.99,7.19,body_care,0.2,0.28,0.08,20% to 30%,body_care
EARTH THERAPEUTICS,"Wooden Foot File, 1 each",4.19,3.39,3.05,body_care,0.191,0.272,0.081,20% to 30%,body_care
Jason Natural Products,"Power Smile Powerful Peppermint Whitening Paste, 3 oz",2.99,2.55,2.29,body_care,0.147,0.234,0.087,20% to 30%,body_care
ALAFFIA,"Lavender Shave Cream, 8 fl oz",8.99,7.69,6.92,body_care,0.145,0.23,0.085,20% to 30%,body_care
Tom's of Maine,Naturally Clean Toothbrush Twin Pack,5.79,4.99,4.49,body_care,0.138,0.225,0.087,20% to 30%,body_care
Hello,"Kids Watermelon Fluoride Free Rinse, 16 fl oz",5.39,4.79,4.31,body_care,0.111,0.2,0.089,10% to 20%,body_care
SEVENTH GENERATION,"Ultra Thin Pads Spr Long With win, 16 pads",5.49,5.19,4.67,body_care,0.055,0.149,0.094,10% to 20%,body_care
Against the Grain,"Gluten Free Original Baguettes, 15 oz",8.29,5.99,5.39,bread_rolls_bakery,0.277,0.35,0.073,30% to 40%,Baguettes
Outer Aisle Gourmet,"Italian Cauliflower Pizza Crust, 5 oz",6.99,5.99,5.39,bread_rolls_bakery,0.143,0.229,0.086,20% to 30%,Crust
Greyston Bakery,"Vegan Fudge Brownie, 2.5 oz",2.39,1.67,1.5,bread_rolls_bakery,0.301,0.372,0.071,30% to 40%,Brownie
Outer Aisle Gourmet,"Plantpower Sandwich Thins, 6.75 oz",6.99,5.99,5.39,bread_rolls_bakery,0.143,0.229,0.086,20% to 30%,Sandwich
Greyston Bakery,"Birthday Cake Blondie, 2.5 oz",1.99,1.67,1.5,bread_rolls_bakery,0.161,0.246,0.085,20% to 30%,Blondie
Greyston Bakery,"Brown Sugar Blondie, 2.5 oz",1.99,1.67,1.5,bread_rolls_bakery,0.161,0.246,0.085,20% to 30%,Blondie
Whole Foods Market,"Seeduction Bread, 20 oz",5.49,4.99,4.49,bread_rolls_bakery,0.091,0.182,0.091,10% to 20%,Bread
Nancy's Fancy,"Whiskey And Cake Gelato, 1 pint",7.99,6.19,5.57,bread_rolls_bakery,0.225,0.303,0.078,30% to 40%,Gelato
Rustic Bakery,"Herbs De Provence Flatbread, 6 oz",7.49,6.49,5.84,bread_rolls_bakery,0.134,0.22,0.086,20% to 30%,Flatbread
Rustic Bakery,"Rosemary & Olive Oil Sourdough Flatbread, 6 oz",7.49,6.49,5.84,bread_rolls_bakery,0.134,0.22,0.086,20% to 30%,Flatbread
Rustic Bakery,"Olive Oil & Sel Gris Sourdough Flatbread, 6 oz",7.49,6.49,5.84,bread_rolls_bakery,0.134,0.22,0.086,20% to 30%,Flatbread
Mitica,"Rosemary Toketti Di Pane Carasau Crackers, 7 oz",6.99,5.74,5.17,bread_rolls_bakery,0.179,0.26,0.081,20% to 30%,Crackers
Lenny & Larry's,"The Complete Crunchy Chocolate Chip Cookies, 4.25 oz",3.99,3,2.7,bread_rolls_bakery,0.248,0.323,0.075,30% to 40%,Cookies
Tate's Bake Shop,"Chocolate Chip Walnut Cookies, 7 oz",5.99,4.99,4.49,bread_rolls_bakery,0.167,0.25,0.083,20% to 30%,Cookies
Tate's Bake Shop,"Gluten Free Chocolate Chip Cookies, 7 oz",5.99,4.99,4.49,bread_rolls_bakery,0.167,0.25,0.083,20% to 30%,Cookies
Tate's Bake Shop,Chocolate Chip Cookies (7 oz),5.99,4.99,4.49,bread_rolls_bakery,0.167,0.25,0.083,20% to 30%,Cookies
Tate's Bake Shop,"Oatmeal Raisin Cookies, 7 oz",5.99,4.99,4.49,bread_rolls_bakery,0.167,0.25,0.083,20% to 30%,Cookies
