company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
Evolution Fresh,"Cold Pressed Organic Pure Orange, 15.2 fl oz",4.19,3.5,3.15,Beverages,0.165,0.248,0.083,20% to 30%,Juice
R.W. Knudsen Family,"Organic Blueberry Pomegranate Juice, 32 fl oz",4.99,4.19,3.77,Beverages,0.16,0.244,0.084,20% to 30%,Juice
R.W. Knudsen Family,"Organic Grape Concord Juice, 32 fl oz",4.99,4.19,3.77,Beverages,0.16,0.244,0.084,20% to 30%,Juice
Kor Shots,"Immune +, 1.7 fl oz",3.79,3.19,2.87,Beverages,0.158,0.243,0.085,20% to 30%,Juice
Kor Shots,"Focus Fuel, 1.7 fl oz",3.79,3.19,2.87,Beverages,0.158,0.243,0.085,20% to 30%,Juice
Kor Shots,"Potent-C, 1.7 fl oz",3.79,3.19,2.87,Beverages,0.158,0.243,0.085,20% to 30%,Juice
Kor Shots,"WELLNESS, 1.7 fl oz",3.79,3.19,2.87,Beverages,0.158,0.243,0.085,20% to 30%,Juice
R.W. Knudsen Family,"Organic Apple Juice, 32 fl oz",4.69,3.99,3.59,Beverages,0.149,0.235,0.086,20% to 30%,Juice
Evolution Fresh,"Cold Pressed Organic Apple, 59 fl oz",9.99,8.49,7.64,Beverages,0.15,0.235,0.085,20% to 30%,Juice
R.W. Knudsen Family,"Rw Knudsen Organic Grapefruit Juice, 32 fl oz",5.99,5.29,4.76,Beverages,0.117,0.205,0.088,20% to 30%,Juice
R.W. Knudsen Family,"Just Black Cherry Juice, 32 fl oz",5.99,5.29,4.76,Beverages,0.117,0.205,0.088,20% to 30%,Juice
R.W. Knudsen Family,"Organic Pineapple Juice, 32 fl oz",5.99,5.29,4.76,Beverages,0.117,0.205,0.088,20% to 30%,Juice
R.W. Knudsen Family,"Organic Very Veggie Juice, 32 fl oz",4.49,3.99,3.59,Beverages,0.111,0.2,0.089,10% to 20%,Juice
Evolution Fresh,"Cold Pressed Tangerine, 59 fl oz",9.99,8.99,8.09,Beverages,0.1,0.19,0.09,10% to 20%,Juice
Lakewood,"Organic Pure Pomegrante Biodynamic Juice, 32 fl oz",11.99,10.79,9.71,Beverages,0.1,0.19,0.09,10% to 20%,Juice
R.W. Knudsen Family,"Rw Knudsen Organic Just Cranberry Juice, 32 fl oz",10.99,9.99,8.99,Beverages,0.091,0.182,0.091,10% to 20%,Juice
Evolution Fresh,"Cold Pressed Organic Grapefruit, 59 fl oz",9.49,8.99,8.09,Beverages,0.053,0.148,0.095,10% to 20%,Juice
Evolution Fresh,"Cold Pressed Organic Defense Up®, 32 fl oz",7.99,7.69,6.92,Beverages,0.038,0.134,0.096,10% to 20%,Juice
R.W. Knudsen Family,"Organic Apple Juice, 96 fl oz",10.29,9.99,8.99,Beverages,0.029,0.126,0.097,10% to 20%,Juice
R.W. Knudsen Family,"Organic Cranberry Pomegranate Juice, 32 fl oz",4.99,4.19,3.77,Beverages,0.16,0.244,0.084,20% to 30%,Juice
R.W. Knudsen Family,"Organic Celery Pear Ginger Juice, 32 fl oz",7.49,6.69,6.02,Beverages,0.107,0.196,0.089,10% to 20%,Juice
R.W. Knudsen Family,"Organic Just Tart Cherry Juice, 32 fl oz",7.99,7.29,6.56,Beverages,0.088,0.179,0.091,10% to 20%,Juice
R.W. Knudsen Family,"Organic Just Prune Juice, 32 fl oz",7.99,7.29,6.56,Beverages,0.088,0.179,0.091,10% to 20%,Juice
R.W. Knudsen Family,"Organic Just Concord Grape Juice, 32 fl oz",5.79,5.29,4.76,Beverages,0.086,0.178,0.092,10% to 20%,Juice
Kor Shots,"Turmeric, 1.7 fl oz",22.99,18.49,16.64,Beverages,0.196,0.276,0.08,20% to 30%,Juice
Garden of Flavor,"Green Harmony Organic Cold-Pressed Juice with Probiotics, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
Garden of Flavor,"Shoots & Sprouts Organic Cold-Pressed Juice, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
Garden of Flavor,"Mean Greens Organic Cold-Pressed Juice, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
Garden of Flavor,"Grasshopper Organic Cold-Pressed Juice, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
Garden of Flavor,"Turmeric Tonic Organic Cold-Pressed Juice with Probiotics, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
Garden of Flavor,"Appleade Organic Cold-Pressed Juice with Probiotics, 16 fl oz",6.99,6,5.4,Beverages,0.142,0.227,0.085,20% to 30%,Juice
R.W. Knudsen Family,"Simply Nutritious Mega Antioxidant Juice, 32 fl oz",3.79,3.29,2.96,Beverages,0.132,0.219,0.087,20% to 30%,Juice
Garden of Flavor,"1-Day Organic Cold-Pressed Juice Cleanse, 16 fl oz",40.99,35.99,32.39,Beverages,0.122,0.21,0.088,20% to 30%,Juice
R.W. Knudsen Family,Organic Just Tart Cherry Juice (32 Fl Oz),7.99,7.29,6.56,Beverages,0.088,0.179,0.091,10% to 20%,Juice
R.W. Knudsen Family,"Low Sodium Very Veggie Juice, 32 fl oz",4.29,3.99,3.59,Beverages,0.07,0.163,0.093,10% to 20%,Juice
Santa Cruz Organic,"Organic Sangria Spritzer, 25.4 fl oz",4.49,2.67,2.4,Beverages,0.405,0.465,0.06,40% to 50%,Beverage
Liquid IV,"Hydration Multiplier Electrolyte Mix Strawberry Single, 0.56 oz",2.99,2,1.8,Beverages,0.331,0.398,0.067,30% to 40%,Beverage
GoodBelly,"Strawberry Plusshot Probiotic Juice Drink, 2.7 fl oz",4.49,3.19,2.87,Beverages,0.29,0.361,0.071,30% to 40%,Beverage
GoodBelly,"Straightshot Probiotic Oat Drink, 4 bottles",3.79,2.79,2.51,Beverages,0.264,0.338,0.074,30% to 40%,Beverage
PURELY SEDONA,Water Artesian Spring Still 1lt,2.69,2,1.8,Beverages,0.257,0.331,0.074,30% to 40%,Beverage
Shroomi,"Mandarin Turmeric Adaptogenic Mushroom Shot, 2 fl oz",3.99,2.99,2.69,Beverages,0.251,0.326,0.075,30% to 40%,Beverage
Shroomi,"Yuzu Honey Adaptogenic Mushroom Shot, 2 fl oz",3.99,2.99,2.69,Beverages,0.251,0.326,0.075,30% to 40%,Beverage
Shroomi,"Pomegranate Mint Adaptogenic Mushroom Shot, 2 fl oz",3.99,2.99,2.69,Beverages,0.251,0.326,0.075,30% to 40%,Beverage
Koia,"Keto Cookies N' Cream Beverage, 12 fl oz",3.99,3,2.7,Beverages,0.248,0.323,0.075,30% to 40%,Beverage
Koia,"Chocolate Peanut Butter Beverage, 12 fl oz",3.99,3,2.7,Beverages,0.248,0.323,0.075,30% to 40%,Beverage
Koia,"Vanilla Bean Protein Beverage, 12 fl oz",3.99,3,2.7,Beverages,0.248,0.323,0.075,30% to 40%,Beverage
Koia,"Cocoa Bean Plant Powered Protein Drink, 12 fl oz",3.99,3,2.7,Beverages,0.248,0.323,0.075,30% to 40%,Beverage
Steaz,"Organic Blueberry Pomegranate Acai Iced Green Tea, 16 fl oz",1.99,1.5,1.35,Beverages,0.246,0.322,0.076,30% to 40%,Beverage
Steaz,"Peach Mango Iced Green Tea, 16 fl oz",1.99,1.5,1.35,Beverages,0.246,0.322,0.076,30% to 40%,Beverage
Steaz,"Raspberry Iced Green Tea, 16 fl oz",1.99,1.5,1.35,Beverages,0.246,0.322,0.076,30% to 40%,Beverage
GoodBelly,"Mango Plusshot Probiotic Juice Drink, 2.7 fl oz",4.49,3.39,3.05,Beverages,0.245,0.321,0.076,30% to 40%,Beverage
Counter Culture Coffee,"Organic Apollo Single Origin Espresso, 12 oz",12.99,9.99,8.99,Beverages,0.231,0.308,0.077,30% to 40%,Beverage
Taza Chocolate,"Organic Chocolate Coffee Mexicano Disc, 2.7 oz",4.49,3.49,3.14,Beverages,0.223,0.301,0.078,30% to 40%,Beverage
PURELY SEDONA,"Water Artesian Spring Still 500ml, 16.9 fl oz",1.59,1.25,1.12,Beverages,0.214,0.296,0.082,20% to 30%,Beverage
Ripple Foods,"Chocolate Non-dairy Beverage, 48 fl oz",4.99,3.99,3.59,Beverages,0.2,0.281,0.081,20% to 30%,Beverage
Remedy Organics,"Organic Cacao Essentials, 12 fl oz",4.99,3.99,3.59,Beverages,0.2,0.281,0.081,20% to 30%,Beverage
Remedy Organics,"Organic Blue Oxidants, 12 fl oz",4.99,3.99,3.59,Beverages,0.2,0.281,0.081,20% to 30%,Beverage
Liquid IV,"Lemon Lime Hydration Multiplier 10 Count, 5.65 oz",19.99,15.99,14.39,Beverages,0.2,0.28,0.08,20% to 30%,Beverage
Liquid IV,"Strawberry Hydration Multiplier Electrolyte Drink Mix, 5.65 oz",19.99,15.99,14.39,Beverages,0.2,0.28,0.08,20% to 30%,Beverage
Culture Pop Soda,"Pink Grapefruit Probiotic Soda 4pk, 12 fl oz",7.29,5.99,5.39,Beverages,0.178,0.261,0.083,20% to 30%,Beverage
Ripple Foods,"Original Plant Based Milk, 48 fl oz",5.99,4.99,4.49,Beverages,0.167,0.25,0.083,20% to 30%,Beverage
Orgain,"Creamy Chocolate Fudge Protein Shake, 11 fl oz",2.99,2.5,2.25,Beverages,0.164,0.247,0.083,20% to 30%,Beverage
CLEAN CAUSE,"Peach Yerba Mate, 16 fl oz",2.99,2.5,2.25,Beverages,0.164,0.247,0.083,20% to 30%,Beverage
CLEAN CAUSE,"Blackberry Yerba Mate, 16 fl oz",2.99,2.5,2.25,Beverages,0.164,0.247,0.083,20% to 30%,Beverage
CLEAN CAUSE,"Raspberry Yerba Mate, 16 fl oz",2.99,2.5,2.25,Beverages,0.164,0.247,0.083,20% to 30%,Beverage
Orgain,"Creamy Chocolate Fudge Organic Nutritional Shake, 44 fl oz",11.89,9.99,8.99,Beverages,0.16,0.244,0.084,20% to 30%,Beverage
Counter Culture Coffee,Organic Number 46 12ozcoffee,12.99,10.99,9.89,Beverages,0.154,0.239,0.085,20% to 30%,Beverage
Counter Culture Coffee,"Hologram, 12 oz",12.99,10.99,9.89,Beverages,0.154,0.239,0.085,20% to 30%,Beverage
Counter Culture Coffee,"Big Trouble, 12 oz",12.99,10.99,9.89,Beverages,0.154,0.239,0.085,20% to 30%,Beverage
GT's Alive,Ancient Mushroom Elixir Root Beer 16oz,3.49,3,2.7,Beverages,0.14,0.226,0.086,20% to 30%,Beverage
GT's Alive,Ancient Mushroom Elixir Cascara Cider 16oz,3.49,3,2.7,Beverages,0.14,0.226,0.086,20% to 30%,Beverage
GT's Alive,Ancient Mushroom Elixir Matcha Vanilla 16oz,3.49,3,2.7,Beverages,0.14,0.226,0.086,20% to 30%,Beverage
Lakewood,"Pure Aloe Organic, 32 fl oz",8.99,7.99,7.19,Beverages,0.111,0.2,0.089,10% to 20%,Beverage
Riot Energy,"Mango Plant Powered Energy Drink, 16 fl oz",2.99,2.69,2.42,Beverages,0.1,0.191,0.091,10% to 20%,Beverage
ALO Drink,"Allure Aloe Vera Juice Drink, 16.9 fl oz",1.99,1.79,1.61,Beverages,0.101,0.191,0.09,10% to 20%,Beverage
Riot Energy,"Citrus Plant Powered Energy Drink, 16 fl oz",2.99,2.69,2.42,Beverages,0.1,0.191,0.091,10% to 20%,Beverage
Riot Energy,"Berry Plant Powered Energy Drink, 16 fl oz",2.99,2.69,2.42,Beverages,0.1,0.191,0.091,10% to 20%,Beverage
Riot Energy,"Cherry Watermelon Plant Powered Energy Drink, 16 fl oz",2.99,2.69,2.42,Beverages,0.1,0.191,0.091,10% to 20%,Beverage
Vita Coco,"Coconut Water 4pk, 16.9 fl oz",9.99,8.99,8.09,Beverages,0.1,0.19,0.09,10% to 20%,Beverage
Navitas Organics,"Organic Keto Cacao Powder, 8 oz",16.49,14.89,13.4,Beverages,0.097,0.187,0.09,10% to 20%,Beverage
Whole Foods Market,"Organic Hot Cocoa Rich Chocolate Mix, 12 oz",4.19,3.79,3.41,Beverages,0.095,0.186,0.091,10% to 20%,Beverage
Powell & Mahoney,"Classic Bloody Mary Handcrafted Cocktail Mixer, 25.36 fl oz",9.49,8.59,7.73,Beverages,0.095,0.185,0.09,10% to 20%,Beverage
Peet's Coffee,"Big Bang Ground Beans, 10.5 oz",10.99,9.99,8.99,Beverages,0.091,0.182,0.091,10% to 20%,Beverage
Peet's Coffee,"Major Dickasons Blend Whole Beans, 10.5 oz",10.99,9.99,8.99,Beverages,0.091,0.182,0.091,10% to 20%,Beverage
Teeccino,"Hazelnut herbal coffee, 11 oz",10.99,9.99,8.99,Beverages,0.091,0.182,0.091,10% to 20%,Beverage
Counter Culture Coffee,"Organic Slow Motion Decaf, 12 oz",12.99,11.99,10.79,Beverages,0.077,0.169,0.092,10% to 20%,Beverage
Orgain,"Organic Chocolate Plant Based Shake, 44 fl oz",11.89,10.99,9.89,Beverages,0.076,0.168,0.092,10% to 20%,Beverage
