,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
395,Himalania,Himalayan Fine Pink Salt,9.69,5.49,4.94,0.43343653250773984,0.4901960784313725,0.05675954592363264,25% to 50%,Salt
1496,Upton's Naturals,Entree Mac Cheesy Bacon,5.29,3.0,2.7,0.43289224952741023,0.4896030245746692,0.056710775047258966,25% to 50%,Bacon
1354,Caulipower,Sea Salt & Olive Oil Roasted Sweet Potato Slices,6.99,3.99,3.59,0.4291845493562232,0.4864091559370529,0.05722460658082973,25% to 50%,Slices
1122,Caulipower,Roasted Sweet Potato Slices,6.99,3.99,3.59,0.4291845493562232,0.4864091559370529,0.05722460658082973,25% to 50%,Slices
1874,Durable Foil,Durable Poultry Pan 3 Pack,2.69,1.57,1.41,0.4163568773234201,0.4758364312267658,0.059479553903345694,25% to 50%,Pack
637,One Degree Organic Foods,Quinoa Cacao Granola,5.99,3.49,3.14,0.41736227045075125,0.4757929883138564,0.058430717863105164,25% to 50%,Granola
852,One Degree Organic Foods,Honey Hemp Granola,5.99,3.49,3.14,0.41736227045075125,0.4757929883138564,0.058430717863105164,25% to 50%,Granola
501,Beanfields,Black Bean With Sea Salt Chips,4.29,2.5,2.25,0.4172494172494172,0.4755244755244755,0.0582750582750583,25% to 50%,Bean
304,Beanfields,Beanfield's Nacho,4.29,2.5,2.25,0.4172494172494172,0.4755244755244755,0.0582750582750583,25% to 50%,Nacho
1092,Rishi Tea,Sencha Organic Green Tea,11.99,6.99,6.29,0.41701417848206834,0.47539616346955793,0.05838198498748959,25% to 50%,Tea
1545,Whole Foods Market,Organic White Chocolate Peppermint Ice Cream Bars,4.39,2.57,2.31,0.41457858769931666,0.4738041002277904,0.059225512528473745,25% to 50%,Bars
1577,Whole Foods Market,Organic Mushroom Gravy,1.99,1.17,1.05,0.4120603015075377,0.47236180904522607,0.06030150753768837,25% to 50%,Gravy
1771,Whole Foods Market,Limited Edition Frozen Vegetables,1.99,1.17,1.05,0.4120603015075377,0.47236180904522607,0.06030150753768837,25% to 50%,Vegetables
2030,RXBAR,Gingerbread Protein Bars,2.49,1.47,1.32,0.40963855421686757,0.4698795180722892,0.06024096385542166,25% to 50%,Bars
1798,Whole Foods Market,Black Eyed Peas - No Salt Added,2.49,1.47,1.32,0.40963855421686757,0.4698795180722892,0.06024096385542166,25% to 50%,Peas
1357,Whole Foods Market,Crispy Onions,2.99,1.77,1.59,0.40802675585284287,0.4682274247491639,0.06020066889632103,25% to 50%,Onions
2045,DRY Botanical Bubbly,Sparkling Cranberry Soda,5.69,3.37,3.03,0.40773286467486825,0.4674868189806679,0.05975395430579966,25% to 50%,Soda
