,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins
388,Birch Benders,Keto Toaster Waffles 6 Count,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
389,GimMe,Organic Roasted Premium Seaweed Snack,4.19,3.49,3.14,0.167064439,0.250596659,0.08353222,25% to 50%
390,Terra Chips,Sea Salt Taro Real Vegetable Chips,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
391,Forager Project,Organic Grain-free Gluten-free Cinnamon Cereal,5.79,5.49,4.94,0.051813472,0.146804836,0.094991364,0% to 25%
392,Noble Made by the New Primal,Medium Buffalo Dipping & Wing Sauce,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
393,GimMe,Organic Wrap N Roll Roasted Seaweed,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
394,Saffron Road,Palak Paneer With Basmati Rice,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
395,Himalania,Himalayan Fine Pink Salt,9.69,5.49,4.94,0.433436533,0.490196078,0.056759546,25% to 50%
396,noosa,Vanilla Yogurt,4.29,3.99,3.59,0.06993007,0.163170163,0.093240093,0% to 25%
397,BRAGG LIVE FOODS,Organic Coconut Liquid Aminos,6.99,5.29,4.76,0.243204578,0.319027182,0.075822604,25% to 50%
398,La Fermière™,Orange Blossom Honey French Yogurt,3.19,2.5,2.25,0.21630094,0.294670846,0.078369906,25% to 50%
399,Purely Elizabeth,Coconut Cashew Grain-Free Granola,6.99,4.99,4.49,0.286123033,0.357653791,0.071530758,25% to 50%
400,Annie's Homegrown,Macaroni & Cheese,1.89,1,0.9,0.470899471,0.523809524,0.052910053,50% to 75%
401,Santa Cruz Organic,Organic Lime Juice,4.99,4.49,4.04,0.100200401,0.190380762,0.090180361,0% to 25%
402,Once Upon A Farm,OhMyMega Veggie! Fruit & Veggie Blend,2.39,2,1.8,0.163179916,0.246861925,0.083682008,0% to 25%
403,One Degree Organic Foods,Organic Sprouted Rolled Oats,9.99,7.99,7.19,0.2002002,0.28028028,0.08008008,25% to 50%
404,Forager Project,Organic Unsweetened Vanilla Bean Cashewmilk Yogurt,5.99,5.49,4.94,0.083472454,0.175292154,0.091819699,0% to 25%
405,GT's Synergy Kombucha,Organic Hibiscus Ginger 16oz,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
406,Chomps,Original Turkey Snack Stick,1.99,1.666666667,1.5,0.162479062,0.246231156,0.083752094,0% to 25%
407,noosa,Blueberry Yoghurt (4 Pk),4.39,3.99,3.59,0.091116173,0.182232346,0.091116173,0% to 25%
408,OWYN,Dark Chocolate Plant Based Protein Shake,3.39,2.5,2.25,0.262536873,0.336283186,0.073746313,25% to 50%
409,Unique Pretzel,Unique Extra Dark Pretzel Splits,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
410,Califia Farms,Barista Blend Almondmilk,4.29,3.79,3.41,0.116550117,0.205128205,0.088578089,0% to 25%
411,LaCroix Sparkling Water,Orange Sparkling Water 12 Pack,5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
412,Califia Farms,Unsweetened Almond Milk Creamer,4.99,4.49,4.04,0.100200401,0.190380762,0.090180361,0% to 25%
413,Dr. Praeger's,Spinach Littles,4.79,4,3.6,0.164926931,0.248434238,0.083507307,0% to 25%
414,Zevia,Zero Calorie Cream Soda (6 Pk),4.99,4.5,4.05,0.098196393,0.188376754,0.090180361,0% to 25%
415,Banza,Chickpea Spaghetti Pasta,3.79,2.99,2.69,0.211081794,0.290237467,0.079155673,25% to 50%
416,GoMacro,Banana + Almond Butter Macrobar,2.99,2,1.8,0.331103679,0.397993311,0.066889632,25% to 50%
417,Grillo's Pickles,Sandwich Makers Dill Pickle Slices,5.99,5,4.5,0.165275459,0.248747913,0.083472454,0% to 25%
418,Olipop,Ginger Lemon Sparkling Tonic,2.49,2,1.8,0.196787149,0.277108434,0.080321285,25% to 50%
419,Primal Kitchen,Vanilla Coconut Collagen Fuel,39.99,33.99,30.59,0.150037509,0.235058765,0.085021255,0% to 25%
