,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins
461,365 by Whole Foods Market,Peanut Butter,2.69,2.19,1.97,0.185873606,0.267657993,0.081784387,25% to 50%
462,GoMacro,Blueberry + Cashew Butter MacroBar,2.99,2,1.8,0.331103679,0.397993311,0.066889632,25% to 50%
463,Perfect Bar,Original Refrigerated Protein Bar,2.79,2,1.8,0.283154122,0.35483871,0.071684588,25% to 50%
464,Purely Elizabeth,Pumpkin Cinnamon Ancient Grain Granola,6.99,4.99,4.49,0.286123033,0.357653791,0.071530758,25% to 50%
465,Sensible Portions,Organic Veggie Ranch Straws,4.99,3.79,3.41,0.240480962,0.316633267,0.076152305,25% to 50%
466,Garden of Life,Organic Raw Meal Vanilla,55.9,46.49,41.84,0.168336315,0.251520572,0.083184258,25% to 50%
467,NotMilk,Whole Plant Based Milk,4.79,3.99,3.59,0.167014614,0.250521921,0.083507307,25% to 50%
468,Vital Farms,Pasteurized Liquid Whole Eggs,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
469,Santa Cruz Organic,Applesauce (6 Pk),4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
470,Nature's Path Organic,Flax Plus Raisin Bran Cereal,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
471,Vive Organic,Organic Wellness Rescue Shot,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
472,Evolution Fresh,Cold Pressed Organic Pure Orange,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
473,Starfish,Beer Battered Cod Fillet,6.99,5.69,5.12,0.185979971,0.267525036,0.081545064,25% to 50%
474,Saffron Road,Coconut Curry Chicken,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
475,Doctor in the Kitchen,Organic Sea Salt Flax Seed Crackers,5.99,4.49,4.04,0.250417362,0.325542571,0.075125209,25% to 50%
476,HOPLARK,The Calm One Sparkling Hoptea,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
477,Ultima Replenisher,Lemonade Electrolyte Powder,19.49,14.49,13.04,0.256541816,0.330938943,0.074397127,25% to 50%
478,GimMe,Organic Roasted Premium Seaweed Snack,1.99,1.666666667,1.5,0.162479062,0.246231156,0.083752094,0% to 25%
479,Country Life,Vitamin D3 Softgels,18.29,15.49,13.94,0.15308912,0.237834882,0.084745763,0% to 25%
480,C2O Pure Coconut Water,Pure Coconut Water,2.19,1.666666667,1.5,0.238964992,0.315068493,0.076103501,25% to 50%
481,Evolution Fresh,Cold Pressed Organic Carrot Citrus Radiance,5.49,3.5,3.15,0.362477231,0.426229508,0.063752277,25% to 50%
482,Bragg Live Food Products,All Purpose Seasoning Liquid Aminos,8.69,6.49,5.84,0.253164557,0.327963176,0.074798619,25% to 50%
483,PopCorners,Sea Salt ,4.29,2.39,2.15,0.442890443,0.498834499,0.055944056,25% to 50%
484,Bob's Red Mill,Whole Grain Old Fashioned Rolled Oats,10.79,7.99,7.19,0.259499537,0.333642261,0.074142725,25% to 50%
485,Blendtopia,Smoothie Detox Superfood Nat,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
486,Zevia,Caffeine Free Cola,4.99,4.5,4.05,0.098196393,0.188376754,0.090180361,0% to 25%
487,Bob's Red Mill,Gluten Free Muesli,5.99,4.49,4.04,0.250417362,0.325542571,0.075125209,25% to 50%
488,From The Ground Up,CAULIFLOWER STALK SEA SALT,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
489,Stacy's,Multigrain Pita Chips,3.19,2.5,2.25,0.21630094,0.294670846,0.078369906,25% to 50%
490,Olipop,Classic Root Beer Sparkling Tonic,2.49,2,1.8,0.196787149,0.277108434,0.080321285,25% to 50%
491,Wild Planet,Wild Albacore Tuna 4ct,17.49,13.99,12.59,0.200114351,0.280160091,0.08004574,25% to 50%
492,Bulletproof,Collagen Vanilla Protein Powder,33.99,26.99,24.29,0.205942924,0.285378052,0.079435128,25% to 50%
493,Chomps,Italian Beef Snack Sticks,1.99,1.666666667,1.5,0.162479062,0.246231156,0.083752094,0% to 25%
494,Zevia,Zero Calorie Grape Soda,4.99,4.5,4.05,0.098196393,0.188376754,0.090180361,0% to 25%
495,Zevia,Orange Sodas (6 Pk),4.99,4.5,4.05,0.098196393,0.188376754,0.090180361,0% to 25%
496,Guru,Organic Energy Drink Original,3.19,2.5,2.25,0.21630094,0.294670846,0.078369906,25% to 50%
497,OWYN,Dark Chocolate Plant Based Protein Shake 4pk,9.99,8.99,8.09,0.1001001,0.19019019,0.09009009,0% to 25%
498,One Degree Organic Foods,Brown Rice Cacao Crisps,3.99,3.49,3.14,0.125313283,0.213032581,0.087719298,0% to 25%
499,Nature's Path Organic,Brown Sugar Maple Instant Oatmeal,5.49,3.99,3.59,0.273224044,0.346083789,0.072859745,25% to 50%
500,Wholesome!,Organic Raw Unfiltered Honey,9.29,7.99,7.19,0.139935414,0.226049516,0.086114101,0% to 25%
501,Beanfields,Black Bean With Sea Salt Chips,4.29,2.5,2.25,0.417249417,0.475524476,0.058275058,25% to 50%
502,Ultima Replenisher,Pink Lemonade Electrolytes Tub,19.49,14.49,13.04,0.256541816,0.330938943,0.074397127,25% to 50%
503,Mush,Dark Chocolate Overnight Oats,2.49,2,1.8,0.196787149,0.277108434,0.080321285,25% to 50%
504,LesserEvil,"Power Curls ""No Cheese"" Cheesiness",4.99,3,2.7,0.398797595,0.458917836,0.06012024,25% to 50%
505,Santa Cruz Organic,Organic Dark Roasted Creamy Peanut Butter Spread,6.79,5.39,4.85,0.206185567,0.285714286,0.079528719,25% to 50%
506,Niman Ranch,Bratwurst,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
507,Halo Top Creamery,Halo Top Mint Chip Light Ice Cream,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
508,Silver Hills Bakery,The Big 16™,4.49,3.49,3.14,0.222717149,0.300668151,0.077951002,25% to 50%
509,Nature's Path Organic,Berry Strawberry Frosted Toaster Pastries,3.49,2.99,2.69,0.143266476,0.229226361,0.085959885,0% to 25%
510,Milkadamia,Unsweetened Macadamia Nut Milk,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
511,Jason Natural Products,Glycerin Rosewater Body Wash,9.99,8.49,7.64,0.15015015,0.235235235,0.085085085,0% to 25%
512,Forager Project,Organic Grain-free Gluten-free Chocolate Cereal,5.79,5.49,4.94,0.051813472,0.146804836,0.094991364,0% to 25%
513,Gardein,Mini Crispy Crabless Cakes,4.79,4.49,4.04,0.06263048,0.1565762,0.09394572,0% to 25%
514,Vive Organic,Organic Ginger Pure Boost Shot,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
515,DR TUNGS,Dental Floss Smart Floss 30yd,4.69,3.79,3.41,0.191897655,0.272921109,0.081023454,25% to 50%
516,Vital Proteins,Collagen Peptide Protein Powder Packet,1.99,1.69,1.52,0.150753769,0.236180905,0.085427136,0% to 25%
517,Rhythm Superfoods,Organic Buffalo Ranch Cauliflower Bites,3.99,3.75,3.375,0.060150376,0.154135338,0.093984962,0% to 25%
518,Starfish,Crispy Battered Haddock,6.99,5.69,5.12,0.185979971,0.267525036,0.081545064,25% to 50%
519,Rhythm Superfoods,Organic Sea Salt Cauliflower Bites,3.99,3.75,3.375,0.060150376,0.154135338,0.093984962,0% to 25%
520,Hiball Energy,Peach Sparkling Energy Water,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
521,Bob's Red Mill,Arrowroot Starch Flour,6.79,5.29,4.76,0.220913108,0.298969072,0.078055965,25% to 50%
522,Snack Mates by The New Primal,Snack Mates Free-Range Chicken & Maple Mini Meat Sticks,6.99,4.29,3.86,0.386266094,0.447782546,0.061516452,25% to 50%
523,Saffron Road,Vegetable Biryani,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
524,Tessemae's,Organic Creamy Ranch Dressing,6.29,4.99,4.49,0.206677266,0.286168521,0.079491256,25% to 50%
525,Blendtopia,Smoothie Glow Superfood Nat,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
526,noosa,Honey Yogurt,4.29,3.99,3.59,0.06993007,0.163170163,0.093240093,0% to 25%
527,365 Everyday Value®,Vitamin D3 Softgels,14.29,9.99,8.99,0.300909727,0.370888733,0.069979006,25% to 50%
528,GT's Synergy Kombucha,Organic Lemon Berry 16oz,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
529,Garden of Life,Chocolate Cacao Organic Shake & Meal Replacement (34.8 Oz),55.9,46.49,41.84,0.168336315,0.251520572,0.083184258,25% to 50%
530,BHU FOODS,White Chocolate Macadamia Cookie Dough Bite,9.69,9.29,8.36,0.04127967,0.137254902,0.095975232,0% to 25%
531,Back to Nature,Multigrain Flax Seed Cracker,3.69,3.49,3.14,0.054200542,0.149051491,0.094850949,0% to 25%
532,Gardein,Lightly Seasoned Chick'n Scallopini,4.79,4.49,4.04,0.06263048,0.1565762,0.09394572,0% to 25%
533,Made In Nature,Organic Mangoes Dried Fruit,5.49,4.99,4.49,0.091074681,0.182149362,0.091074681,0% to 25%
534,Primal Kitchen,Chocolate Coconut Collagen Protein,36.99,31.49,28.34,0.148688835,0.233846986,0.085158151,0% to 25%
535,Tessemae's,Organic Lemon Garlic Dressing & Marinade,6.29,4.99,4.49,0.206677266,0.286168521,0.079491256,25% to 50%
536,MadeGood,Chocolate Banana Granola Bars,4.19,3.49,3.14,0.167064439,0.250596659,0.08353222,25% to 50%
537,SEVENTH GENERATION,Free & Clear Laundry Detergent Packs 45 Count,14.99,12.49,11.24,0.166777852,0.250166778,0.083388926,25% to 50%
538,Nutiva,Coconut Oil,13.99,12.99,11.69,0.071479628,0.164403145,0.092923517,0% to 25%
539,NadaMoo!,Organic Mint Chip,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
540,Nature's Path Organic,Honey Almond Granola,5.49,4.99,4.49,0.091074681,0.182149362,0.091074681,0% to 25%
541,Laird Superfood,Unsweetened Superfood Creamer,4.99,3.49,3.14,0.300601202,0.370741483,0.070140281,25% to 50%
542,Upton's Naturals,Chorizo Seitan,4.79,3.5,3.15,0.269311065,0.342379958,0.073068894,25% to 50%
543,Gardein,Lightly Breaded Turk'y Cutlets,4.79,4.49,4.04,0.06263048,0.1565762,0.09394572,0% to 25%
544,Wild Planet,Wild Sardines In Extra Virgin Olive Oil,2.99,2.39,2.15,0.200668896,0.280936455,0.080267559,25% to 50%
545,OM ORGANIC MUSHROOM NUTRITION,Organic Lions Mane Matrix Powder,28.49,23.99,21.59,0.157950158,0.242190242,0.084240084,0% to 25%
546,Tessemae's,Organic Creamy Caesar Dressing + Dip,6.29,4.99,4.49,0.206677266,0.286168521,0.079491256,25% to 50%
547,MadeGood,Organic Vanilla Crispy Squares,3.19,2.49,2.24,0.219435737,0.297805643,0.078369906,25% to 50%
548,Keto and Co,Peanut Buter Crunch Granola,9.99,8.99,8.09,0.1001001,0.19019019,0.09009009,0% to 25%
549,bare snacks,Organic Fuji & Reds Apple Chips,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
550,Halo Top Creamery,Cookies & Cream Halo Top,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
551,Annie's Homegrown,Shells & Real Aged Cheddar Macaroni & Cheese,1.89,1,0.9,0.470899471,0.523809524,0.052910053,50% to 75%
552,nuun,Tri Berry Hydration,6.49,6,5.4,0.07550077,0.167950693,0.092449923,0% to 25%
553,Nature's Path Organic,Sunrise Crunchy Vanilla Cereal,4.39,2.99,2.69,0.318906606,0.387243736,0.06833713,25% to 50%
554,Bitchin' Sauce,Cilantro Chili,5.99,5,4.5,0.165275459,0.248747913,0.083472454,0% to 25%
555,Brad's Plant Based,Brad's Original Crunchy Kale,4.99,3,2.7,0.398797595,0.458917836,0.06012024,25% to 50%
556,Natierra,Organic Freeze-Dried Raspberries,6.79,5.29,4.76,0.220913108,0.298969072,0.078055965,25% to 50%
557,Barbara's Bakery,Original Multigrain Spoonfuls Cereal,4.49,3.49,3.14,0.222717149,0.300668151,0.077951002,25% to 50%
558,Garden of Life,Organic Mykind Women's Once Daily Multi,29.99,25.49,22.94,0.150050017,0.235078359,0.085028343,0% to 25%
559,Good To Go,Vanilla Almond Soft Baked Bar,7.49,6.99,6.29,0.066755674,0.160213618,0.093457944,0% to 25%
560,Quorn,Chicken Style Nuggets,4.29,3.99,3.59,0.06993007,0.163170163,0.093240093,0% to 25%
561,Horizon Organic,Smoothie Strawberry,4.79,3.99,3.59,0.167014614,0.250521921,0.083507307,25% to 50%
562,Mush,Strawberry Overnight Oats,2.49,2,1.8,0.196787149,0.277108434,0.080321285,25% to 50%
563,Nature's Path Organic,Pumpkin Seed Plus Flax Granola,4.49,2.99,2.69,0.334075724,0.400890869,0.066815145,25% to 50%
564,Biena Snacks,Sea Salt Chickpea Snacks,4.19,3.99,3.59,0.047732697,0.143198091,0.095465394,0% to 25%
565,Garden of Life,Organic Mykind Prenatal Once Daily,39.99,33.99,30.59,0.150037509,0.235058765,0.085021255,0% to 25%
566,Primal Kitchen,Avocado Oil Mayo,9.99,7.99,7.19,0.2002002,0.28028028,0.08008008,25% to 50%
567,Bell & Evans,Breaded Parmesan Chicken Meatballs With Mozzarella,6.99,4.99,4.49,0.286123033,0.357653791,0.071530758,25% to 50%
568,Zevia,Dr. Zero Calorie Soda (6 Pk),4.99,4.5,4.05,0.098196393,0.188376754,0.090180361,0% to 25%
569,Perfect Bar,Original Refrigerated Protein Bar,2.79,2,1.8,0.283154122,0.35483871,0.071684588,25% to 50%
570,Sunfood Superfoods,Organic Matcha Powder,21.99,16.49,14.84,0.250113688,0.325147794,0.075034106,25% to 50%
571,GoodBelly,Probiotic Juice Mango,3.99,3,2.7,0.248120301,0.323308271,0.07518797,25% to 50%
572,nutpods,Toasted Marshmallow,3.49,2.49,2.24,0.286532951,0.358166189,0.071633238,25% to 50%
573,4505 Meats,Chicharrones Fried Pork Rinds Classic Chili & Salt,4.49,3.99,3.59,0.111358575,0.200445434,0.08908686,0% to 25%
574,Brad's Plant Based,Brad's Vampire Killer Crunchy Kale,4.99,3,2.7,0.398797595,0.458917836,0.06012024,25% to 50%
575,Artisana Foods,Raw Tahini,10.49,9.99,8.99,0.047664442,0.142993327,0.095328885,0% to 25%
576,Solely,Pineapple Rings Organic,7.69,6.99,6.29,0.091027308,0.182054616,0.091027308,0% to 25%
577,Lakewood,Organic Cold Pressed Pure Lime Juice,8.49,6.49,5.84,0.23557126,0.31213192,0.07656066,25% to 50%
578,Brad's Plant Based,Brad's Cheeze It Up Crunchy Kale,4.99,3,2.7,0.398797595,0.458917836,0.06012024,25% to 50%
579,Kos,Organic Chocolate Plant Protein Powder,31.49,26.99,24.29,0.142902509,0.228644014,0.085741505,0% to 25%
580,Wild Planet,Organic Roasted Chicken Breast - No Salt Added,5.49,4.39,3.95,0.200364299,0.280510018,0.080145719,25% to 50%
581,Habanero,Ranch Dressing,6.29,4.99,4.49,0.206677266,0.286168521,0.079491256,25% to 50%
582,SEVENTH GENERATION,Citrus Breeze Laundry Liquid 2x,13.29,12.49,11.24,0.060195636,0.154251317,0.094055681,0% to 25%
583,MaraNatha,Organic Crunchy Raw Almond Butter,20.99,19.49,17.54,0.071462601,0.164363983,0.092901382,0% to 25%
584,Navitas Organics,Organic Cacao Nibs,19.79,15.39,13.85,0.222334512,0.300151592,0.077817079,25% to 50%
585,KidFresh,Wagon Wheels Mac 'n Cheese,3.49,3.29,2.96,0.05730659,0.151862464,0.094555874,0% to 25%
586,SEVENTH GENERATION,Free & Clear Liquid Dish Soap,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
587,Jason Natural Products,Lavender Body Wash,9.99,8.49,7.64,0.15015015,0.235235235,0.085085085,0% to 25%
588,Monfefo,Organic Ginger Juice Shot,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
589,Santa Cruz Organic,Organic Dark Roasted Crunchy Peanut Butter Spread,6.79,5.39,4.85,0.206185567,0.285714286,0.079528719,25% to 50%
590,PURPLE CARROT,Meatless Meatballs With Lemon Basil Orzo,4.99,4.39,3.95,0.120240481,0.208416834,0.088176353,0% to 25%
591,Halo Top Creamery,Chocolate Chip Cookie Dough Light Ice Cream,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
592,Big Tree Farms,Organic Brown Coconut Sugar,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
593,Rao's Homemade,Italian Wedding Soup With Meatballs,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
594,Birch Benders,Protein Pancake & Waffle Mix,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
595,Halo Top Creamery,Sea Salt & Caramel Ice Cream,5.49,4.49,4.04,0.182149362,0.264116576,0.081967213,25% to 50%
596,Niman Ranch,Spicy Italian Uncured Sausage,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
597,Vive Organic,Organic Vitamin C Immunity Boost Shot,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
598,Bob's Red Mill,Organic Extra Thick Rolled Oats,6.79,4.99,4.49,0.265095729,0.338733432,0.073637703,25% to 50%
599,Birch Benders,Organic Buttermilk Pancake And Waffle Mix,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
600,KeVita,Organic Lemon Ginger Sparkling Probiotic Drink,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
601,SmartyPants,Womens Complete Multivitamin Gummies,28.99,24.49,22.04,0.15522594,0.239737841,0.084511901,0% to 25%
602,Ancient Nutrition,Vanilla Protein Bone Broth,46.49,36.99,33.29,0.20434502,0.283932028,0.079587008,25% to 50%
603,Culina,Sour Cherry Almond Coconut Yogurt,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
604,Dr. Bronner's,Powersmile Toothpaste,6.99,5.69,5.12,0.185979971,0.267525036,0.081545064,25% to 50%
605,Noble Made by the New Primal,Mild Buffalo Dipping & Wing Sauce,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
606,Kos,Organic Vanilla Plant Protein Powder,31.49,26.99,24.29,0.142902509,0.228644014,0.085741505,0% to 25%
607,Bob's Red Mill,Quick Cooking Rolled Oats,6.69,6.29,5.66,0.059790732,0.153961136,0.094170404,0% to 25%
608,Dr. Praeger's,Sensible Foods Heirloom Bean Veggie Burgers,4.49,4,3.6,0.109131403,0.198218263,0.08908686,0% to 25%
609,Niman Ranch,Fat Tire Beer Bratwurst Pork Sausage,6.99,5.99,5.39,0.143061516,0.228898426,0.08583691,0% to 25%
610,Snack Mates by The New Primal,Snack Mates Free-Range Turkey Mini Meat Sticks,6.99,4.29,3.86,0.386266094,0.447782546,0.061516452,25% to 50%
611,From The Ground Up,CAULIFLOWER PRETZEL STICKS ORIGINAL,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
612,SEVENTH GENERATION,2ply Bath Tissue (300 Ct),4.29,3.99,3.59,0.06993007,0.163170163,0.093240093,0% to 25%
613,From The Ground Up,Cheddar Cauliflower Crackers,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
614,GoMacro,Sunflower Butter + Chocolate MacroBar,2.99,2,1.8,0.331103679,0.397993311,0.066889632,25% to 50%
615,Saffron Road,Enchiladas Al Chipotle With Black Beans & Rice,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
616,From The Ground Up,CAULIFLOWER PRETZEL TWISTS ORIGINAL,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
617,HOPLARK,Citra Bomb One Sparkling Hop Tea,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
618,MaraNatha,Organic Creamy Roasted Almond Butter,20.99,19.49,17.54,0.071462601,0.164363983,0.092901382,0% to 25%
619,MaraNatha,Creamy Raw Almond Butter,16.49,14.49,13.04,0.121285628,0.209217708,0.08793208,0% to 25%
620,La Tourangelle,Expeller-Pressed Grapeseed Oil,8.29,6.99,6.29,0.15681544,0.241254524,0.084439083,0% to 25%
621,Liquid IV,Hydration Sleeve,2.99,2.49,2.24,0.16722408,0.25083612,0.08361204,25% to 50%
622,KidFresh,White Meat Chicken Sticks,6.99,6.69,6.02,0.042918455,0.138769671,0.095851216,0% to 25%
623,bare snacks,Organic Cinnamon Apple Chips,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
624,Mush,Coffee Coconut Overnight Oats,2.49,2,1.8,0.196787149,0.277108434,0.080321285,25% to 50%
625,Vermont Smoke & Cure,Uncured Pepperoni Turkey Meat Stick,1.99,1.29,1.16,0.351758794,0.417085427,0.065326633,25% to 50%
626,Follow Your Heart,Dairy-Free Feta Crumbles 6 oz,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
627,Health-Ade,Pink Lady Apple Kombucha,8.49,7.49,6.74,0.11778563,0.206124853,0.088339223,0% to 25%
628,Vive Organic,Organic Immunity Boost Variety Shot 4pk,14.99,11.99,10.79,0.200133422,0.280186791,0.080053369,25% to 50%
629,Banza,Chickpea Linguine Pasta,3.79,2.99,2.69,0.211081794,0.290237467,0.079155673,25% to 50%
630,Nature's Path Organic,Flax Plus Red Berry Crunch Cereal,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
631,Bob's Red Mill,Xanthan Gum,9.99,8.99,8.09,0.1001001,0.19019019,0.09009009,0% to 25%
632,New Chapter,Bone Strength Take Care™,70.99,56.99,51.29,0.197210875,0.277503874,0.080292999,25% to 50%
633,Quest Nutrition®,Chocolate Chip Cookie Dough Protein Bar,2.49,2.39,2.15,0.040160643,0.136546185,0.096385542,0% to 25%
634,PURPLE CARROT,Lime Chickpeas And Quinoa Elote Bowl,4.99,4.39,3.95,0.120240481,0.208416834,0.088176353,0% to 25%
635,Saffron Road,Lamb Saag With Basmati Rice,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
636,HOPLARK,The Really Hoppy One Sparkling Hoptea,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
637,One Degree Organic Foods,Quinoa Cacao Granola,5.99,3.49,3.14,0.41736227,0.475792988,0.058430718,25% to 50%
638,Vermont Smoke & Cure,Cracked Pepper Beef & Pork Meat Stick,1.99,1.29,1.16,0.351758794,0.417085427,0.065326633,25% to 50%
639,inner-ēco,Original Plain Fresh Coconut Water Probiotic,19.49,15.29,13.76,0.215495126,0.293996921,0.078501796,25% to 50%
640,LifeAid,Focusaid Melon Maté,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
641,Organic Valley,Organic Feta Crumbles,6.49,5.99,5.39,0.077041602,0.169491525,0.092449923,0% to 25%
642,Tera's Whey,Organic Bourbon Vanilla Whey Protein,30.49,25.99,23.39,0.147589374,0.232863234,0.08527386,0% to 25%
643,Health Valley,Organic Chicken Noodle Soup (No Salt Added),3.69,3,2.7,0.18699187,0.268292683,0.081300813,25% to 50%
644,Bob's Red Mill,Organic Oat Bran High Fiber Hot Cereal,4.99,3.79,3.41,0.240480962,0.316633267,0.076152305,25% to 50%
645,Nature's Path Organic,Flax Plus Maple Pecan Crunch Cereal,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
646,Mrs. Meyer's Clean Day,Lavender Liquid Hand Soap,4.39,3.99,3.59,0.091116173,0.182232346,0.091116173,0% to 25%
647,Health-Ade,Ginger Lemon Kombucha,8.49,7.49,6.74,0.11778563,0.206124853,0.088339223,0% to 25%
648,From The Ground Up,CAULIFLOWER STALKS CHEDDAR,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
649,Wild Planet,Wild Skipjack Light Tuna,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
650,Gardein,The Ultimate Beefless Burger,4.79,4.49,4.04,0.06263048,0.1565762,0.09394572,0% to 25%
651,Wild Planet,Wild Mackerel Fillets,3.49,2.79,2.51,0.200573066,0.280802292,0.080229226,25% to 50%
652,From The Ground Up,TORTILLA CHIPS CAULIFLOWER NACHO,3.99,3.5,3.15,0.122807018,0.210526316,0.087719298,0% to 25%
653,The New Primal,Classic Beef Stick,1.99,1.5,1.35,0.246231156,0.32160804,0.075376884,25% to 50%
654,MaraNatha,Organic No Stir Peanut Butter,7.49,6.79,6.11,0.093457944,0.184245661,0.090787717,0% to 25%
655,Bob's Red Mill,Organic Polenta Corn Grits,4.29,3.19,2.87,0.256410256,0.331002331,0.074592075,25% to 50%
656,KeVita,Organic Turmeric Ginger Sparkling Probiotic Tonic,3.19,2.5,2.25,0.21630094,0.294670846,0.078369906,25% to 50%
657,SEVENTH GENERATION,Multi Surface Disinfecting Wipes,4.99,4.49,4.04,0.100200401,0.190380762,0.090180361,0% to 25%
658,Just Water,Spring Water,1.29,1,0.9,0.224806202,0.302325581,0.07751938,25% to 50%
659,Vive Organic,Organic Energy + Focus Energy Shot,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
660,Saffron Road,Vegetable Pad Thai With Rice Noodles,5.29,4.29,3.86,0.189035917,0.270321361,0.081285444,25% to 50%
661,KidFresh,Super Duper Chicken Nuggets,4.49,4.29,3.86,0.04454343,0.140311804,0.095768374,0% to 25%
662,HOPLARK,The Green Tea One Sparkling Hoptea,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
663,Barbara's Bakery,Original Morning Oat Crunch Cereal,4.49,3.49,3.14,0.222717149,0.300668151,0.077951002,25% to 50%
664,Mrs. Meyer's Clean Day,Lemon Liquid Hand Soap Refill,7.69,6.99,6.29,0.091027308,0.182054616,0.091027308,0% to 25%
665,Nature's Path Organic,Flax Plus Multibran Flakes Cereal,3.99,2.99,2.69,0.250626566,0.325814536,0.07518797,25% to 50%
666,Ozery Bakery,Cranberry Orange Morning Rounds,4.49,2.5,2.25,0.443207127,0.498886414,0.055679287,25% to 50%
667,Vive Organic,Organic Turmeric Pure Boost Shot,3.99,3.19,2.87,0.200501253,0.280701754,0.080200501,25% to 50%
668,Nature's Path Organic,Golden Turmeric Cereal,4.99,2.99,2.69,0.400801603,0.460921844,0.06012024,25% to 50%
669,Himalania,Fine Pink Salt,8.79,7.49,6.74,0.147895336,0.233219568,0.085324232,0% to 25%
670,AURA CACIA,Lavender Essential Oil,11.79,10.29,9.26,0.127226463,0.214588634,0.087362171,0% to 25%
671,Rowdy Mermaid Kombucha,Kombucha Organic Savory Peach,3.49,2.5,2.25,0.283667622,0.35530086,0.071633238,25% to 50%
672,Grillo's Pickles,Whole Dill Pickles,7.49,6.49,5.84,0.133511348,0.220293725,0.086782377,0% to 25%
673,Ultima Replenisher,Wild Raspberry Electrolyte Powder,19.49,14.49,13.04,0.256541816,0.330938943,0.074397127,25% to 50%
674,Ascent,Chocolate Peanut Butter Whey,44.99,37.99,34.19,0.155590131,0.240053345,0.084463214,0% to 25%
675,Blake's All Natural Foods,Chicken Pot Pie,5.69,4.99,4.49,0.123022847,0.210896309,0.087873462,0% to 25%
676,Simply 7 Snacks,Sea Salt Lentil Chips,3.99,2.5,2.25,0.373433584,0.436090226,0.062656642,25% to 50%
677,Sunfood™,Organic Sun Is Shining,27.99,20.99,18.89,0.250089318,0.325116113,0.075026795,25% to 50%
678,Barbara's Bakery,Original Puffins Cereal,4.29,3.49,3.14,0.186480186,0.268065268,0.081585082,25% to 50%
679,Muir Glen,Organic Tomato Sauce,2.19,1,0.9,0.543378995,0.589041096,0.0456621,50% to 75%
